"No.","Time","Source","Destination","Protocol","Length","Info","Text","Bit Value"
"5470","22.119176","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=256&y=40&event=mousemove HTTP/1.1 ","",""
"5482","22.156002","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=255&y=41&event=mousemove HTTP/1.1 ","",""
"5494","22.277563","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=257&y=39&event=mousemove HTTP/1.1 ","",""
"5506","22.278535","127.0.0.1","127.0.0.1","HTTP","353","GET /anticheat?x=257&y=39&event=mouseup HTTP/1.1 ","",""
"5518","22.297797","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=258&y=38&event=mousemove HTTP/1.1 ","",""
"5530","22.314334","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=260&y=35&event=mousemove HTTP/1.1 ","",""
"5542","22.338673","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=262&y=34&event=mousemove HTTP/1.1 ","",""
"5554","22.349160","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=264&y=32&event=mousemove HTTP/1.1 ","",""
"5566","22.360319","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=267&y=30&event=mousemove HTTP/1.1 ","",""
"5578","22.377873","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=268&y=29&event=mousemove HTTP/1.1 ","",""
"5590","22.397086","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=269&y=28&event=mousemove HTTP/1.1 ","",""
"5600","22.411381","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=270&y=27&event=mousemove HTTP/1.1 ","",""
"5612","22.429317","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=270&y=26&event=mousemove HTTP/1.1 ","",""
"5624","22.443888","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=271&y=24&event=mousemove HTTP/1.1 ","",""
"5636","22.478046","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=273&y=23&event=mousemove HTTP/1.1 ","",""
"5648","22.511938","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=274&y=22&event=mousemove HTTP/1.1 ","",""
"5656","22.513009","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=275&y=21&event=mousemove HTTP/1.1 ","",""
"5658","22.513069","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=276&y=21&event=mousemove HTTP/1.1 ","",""
"5684","22.530493","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=276&y=20&event=mousemove HTTP/1.1 ","",""
"5696","22.544503","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=277&y=19&event=mousemove HTTP/1.1 ","",""
"5708","22.578514","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=278&y=18&event=mousemove HTTP/1.1 ","",""
"5720","22.594808","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=278&y=17&event=mousemove HTTP/1.1 ","",""
"5732","22.617486","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=279&y=16&event=mousemove HTTP/1.1 ","",""
"5744","22.626780","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=279&y=15&event=mousemove HTTP/1.1 ","",""
"5756","22.646333","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=279&y=14&event=mousemove HTTP/1.1 ","",""
"5768","22.676841","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=279&y=13&event=mousemove HTTP/1.1 ","",""
"5780","22.697493","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=280&y=13&event=mousemove HTTP/1.1 ","",""
"5792","22.722208","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=280&y=12&event=mousemove HTTP/1.1 ","",""
"5804","22.758594","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=280&y=11&event=mousemove HTTP/1.1 ","",""
"5816","22.783797","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=280&y=11&event=mousedown HTTP/1.1 ","",""
"5828","22.912926","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=280&y=14&event=mousemove HTTP/1.1 ","",""
"5840","22.941897","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=280&y=15&event=mousemove HTTP/1.1 ","",""
"5852","22.975268","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=280&y=16&event=mousemove HTTP/1.1 ","",""
"5864","23.009471","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=279&y=17&event=mousemove HTTP/1.1 ","",""
"5876","23.029163","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=279&y=18&event=mousemove HTTP/1.1 ","",""
"5888","23.059822","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=279&y=19&event=mousemove HTTP/1.1 ","",""
"5900","23.077073","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=278&y=19&event=mousemove HTTP/1.1 ","",""
"5910","23.116685","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=278&y=20&event=mousemove HTTP/1.1 ","",""
"5922","23.238494","127.0.0.1","127.0.0.1","HTTP","353","GET /anticheat?x=278&y=20&event=mouseup HTTP/1.1 ","",""
"5934","23.270425","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=277&y=20&event=mousemove HTTP/1.1 ","",""
"5946","23.291634","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=277&y=21&event=mousemove HTTP/1.1 ","",""
"5958","23.310246","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=276&y=23&event=mousemove HTTP/1.1 ","",""
"5970","23.321344","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=274&y=25&event=mousemove HTTP/1.1 ","",""
"5982","23.338494","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=271&y=27&event=mousemove HTTP/1.1 ","",""
"5994","23.355190","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=267&y=32&event=mousemove HTTP/1.1 ","",""
"6006","23.372651","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=264&y=35&event=mousemove HTTP/1.1 ","",""
"6018","23.392945","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=262&y=38&event=mousemove HTTP/1.1 ","",""
"6030","23.421741","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=259&y=41&event=mousemove HTTP/1.1 ","",""
"6042","23.438711","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=258&y=43&event=mousemove HTTP/1.1 ","",""
"6054","23.445390","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=257&y=44&event=mousemove HTTP/1.1 ","",""
"6066","23.454077","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=256&y=46&event=mousemove HTTP/1.1 ","",""
"6078","23.474141","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=255&y=47&event=mousemove HTTP/1.1 ","",""
"6090","23.488591","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=254&y=48&event=mousemove HTTP/1.1 ","",""
"6100","23.506237","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=254&y=49&event=mousemove HTTP/1.1 ","",""
"6112","23.601933","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=255&y=49&event=mousemove HTTP/1.1 ","",""
"6124","23.786806","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=255&y=49&event=mousedown HTTP/1.1 ","",""
"6136","23.810024","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=255&y=50&event=mousemove HTTP/1.1 ","",""
"6148","23.834090","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=255&y=51&event=mousemove HTTP/1.1 ","",""
"6160","23.861012","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=255&y=52&event=mousemove HTTP/1.1 ","",""
"6172","23.883725","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=255&y=53&event=mousemove HTTP/1.1 ","",""
"6184","23.903595","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=255&y=54&event=mousemove HTTP/1.1 ","",""
"6196","23.909601","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=255&y=55&event=mousemove HTTP/1.1 ","",""
"6208","23.917205","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=255&y=56&event=mousemove HTTP/1.1 ","",""
"6220","23.939382","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=255&y=57&event=mousemove HTTP/1.1 ","",""
"6232","23.960746","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=255&y=58&event=mousemove HTTP/1.1 ","",""
"6244","24.002660","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=255&y=59&event=mousemove HTTP/1.1 ","",""
"6256","24.030426","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=255&y=60&event=mousemove HTTP/1.1 ","",""
"6268","24.084342","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=255&y=61&event=mousemove HTTP/1.1 ","",""
"6280","24.140932","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=255&y=62&event=mousemove HTTP/1.1 ","",""
"6292","24.448079","127.0.0.1","127.0.0.1","HTTP","353","GET /anticheat?x=255&y=62&event=mouseup HTTP/1.1 ","",""
"6304","24.701938","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=256&y=62&event=mousemove HTTP/1.1 ","",""
"6316","24.727380","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=257&y=62&event=mousemove HTTP/1.1 ","",""
"6328","24.736444","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=258&y=61&event=mousemove HTTP/1.1 ","",""
"6340","24.761421","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=259&y=60&event=mousemove HTTP/1.1 ","",""
"6352","24.780115","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=261&y=59&event=mousemove HTTP/1.1 ","",""
"6364","24.796952","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=264&y=58&event=mousemove HTTP/1.1 ","",""
"6376","24.824858","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=266&y=57&event=mousemove HTTP/1.1 ","",""
"6388","24.834506","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=270&y=56&event=mousemove HTTP/1.1 ","",""
"6400","24.858091","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=273&y=55&event=mousemove HTTP/1.1 ","",""
"6412","24.865641","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=276&y=54&event=mousemove HTTP/1.1 ","",""
"6422","24.882990","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=278&y=54&event=mousemove HTTP/1.1 ","",""
"6434","24.897155","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=279&y=53&event=mousemove HTTP/1.1 ","",""
"6446","24.914812","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=281&y=52&event=mousemove HTTP/1.1 ","",""
"6458","24.932655","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=283&y=52&event=mousemove HTTP/1.1 ","",""
"6470","24.946333","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=285&y=51&event=mousemove HTTP/1.1 ","",""
"6482","24.963732","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=287&y=50&event=mousemove HTTP/1.1 ","",""
"6494","24.979290","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=288&y=50&event=mousemove HTTP/1.1 ","",""
"6506","25.007235","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=289&y=50&event=mousemove HTTP/1.1 ","",""
"6518","25.011770","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=290&y=50&event=mousemove HTTP/1.1 ","",""
"6530","25.033330","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=291&y=49&event=mousemove HTTP/1.1 ","",""
"6542","25.063137","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=293&y=48&event=mousemove HTTP/1.1 ","",""
"6547","25.066946","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=294&y=48&event=mousemove HTTP/1.1 ","",""
"6566","25.087594","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=296&y=47&event=mousemove HTTP/1.1 ","",""
"6578","25.099541","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=297&y=46&event=mousemove HTTP/1.1 ","",""
"6590","25.117467","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=298&y=46&event=mousemove HTTP/1.1 ","",""
"6602","25.136040","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=299&y=45&event=mousemove HTTP/1.1 ","",""
"6614","25.157642","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=301&y=44&event=mousemove HTTP/1.1 ","",""
"6626","25.161907","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=304&y=44&event=mousemove HTTP/1.1 ","",""
"6638","25.182834","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=306&y=43&event=mousemove HTTP/1.1 ","",""
"6650","25.196037","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=309&y=41&event=mousemove HTTP/1.1 ","",""
"6662","25.218004","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=311&y=40&event=mousemove HTTP/1.1 ","",""
"6674","25.238162","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=313&y=39&event=mousemove HTTP/1.1 ","",""
"6686","25.252889","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=315&y=38&event=mousemove HTTP/1.1 ","",""
"6698","25.275971","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=316&y=37&event=mousemove HTTP/1.1 ","",""
"6710","25.298101","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=318&y=36&event=mousemove HTTP/1.1 ","",""
"6715","25.302238","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=319&y=35&event=mousemove HTTP/1.1 ","",""
"6734","25.315418","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=322&y=34&event=mousemove HTTP/1.1 ","",""
"6746","25.329009","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=324&y=32&event=mousemove HTTP/1.1 ","",""
"6758","25.362056","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=325&y=30&event=mousemove HTTP/1.1 ","",""
"6770","25.379484","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=326&y=29&event=mousemove HTTP/1.1 ","",""
"6782","25.395888","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=326&y=28&event=mousemove HTTP/1.1 ","",""
"6794","25.418968","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=326&y=27&event=mousemove HTTP/1.1 ","",""
"6806","25.429820","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=326&y=26&event=mousemove HTTP/1.1 ","",""
"6818","25.449210","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=326&y=25&event=mousemove HTTP/1.1 ","",""
"6830","25.485373","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=324&y=23&event=mousemove HTTP/1.1 ","",""
"6842","25.513047","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=323&y=21&event=mousemove HTTP/1.1 ","",""
"6854","25.531829","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=322&y=21&event=mousemove HTTP/1.1 ","",""
"6866","25.548788","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=322&y=20&event=mousemove HTTP/1.1 ","",""
"6878","25.565293","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=321&y=19&event=mousemove HTTP/1.1 ","",""
"6890","25.581078","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=320&y=19&event=mousemove HTTP/1.1 ","",""
"6902","25.598418","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=320&y=18&event=mousemove HTTP/1.1 ","",""
"6914","25.620182","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=320&y=17&event=mousemove HTTP/1.1 ","",""
"6926","25.629952","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=319&y=17&event=mousemove HTTP/1.1 ","",""
"6938","25.663064","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=319&y=16&event=mousemove HTTP/1.1 ","",""
"6950","25.686439","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=319&y=15&event=mousemove HTTP/1.1 ","",""
"6960","25.695763","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=318&y=14&event=mousemove HTTP/1.1 ","",""
"6972","25.729961","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=317&y=13&event=mousemove HTTP/1.1 ","",""
"6984","25.746754","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=317&y=12&event=mousemove HTTP/1.1 ","",""
"6996","25.767869","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=316&y=12&event=mousemove HTTP/1.1 ","",""
"7008","26.400098","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=316&y=11&event=mousemove HTTP/1.1 ","",""
"7020","26.768577","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=316&y=10&event=mousemove HTTP/1.1 ","",""
"7030","26.792653","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=316&y=10&event=mousedown HTTP/1.1 ","",""
"7042","26.973953","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=316&y=13&event=mousemove HTTP/1.1 ","",""
"7054","26.993503","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=316&y=14&event=mousemove HTTP/1.1 ","",""
"7064","27.023047","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=316&y=15&event=mousemove HTTP/1.1 ","",""
"7076","27.058975","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=316&y=16&event=mousemove HTTP/1.1 ","",""
"7088","27.074857","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=316&y=18&event=mousemove HTTP/1.1 ","",""
"7100","27.110655","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=316&y=19&event=mousemove HTTP/1.1 ","",""
"7112","27.239331","127.0.0.1","127.0.0.1","HTTP","353","GET /anticheat?x=316&y=19&event=mouseup HTTP/1.1 ","",""
"7124","27.268386","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=317&y=20&event=mousemove HTTP/1.1 ","",""
"7136","27.275589","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=318&y=21&event=mousemove HTTP/1.1 ","",""
"7148","27.285280","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=319&y=22&event=mousemove HTTP/1.1 ","",""
"7160","27.294878","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=320&y=23&event=mousemove HTTP/1.1 ","",""
"7172","27.305327","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=322&y=24&event=mousemove HTTP/1.1 ","",""
"7184","27.321265","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=323&y=26&event=mousemove HTTP/1.1 ","",""
"7189","27.322552","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=324&y=27&event=mousemove HTTP/1.1 ","",""
"7208","27.355247","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=329&y=32&event=mousemove HTTP/1.1 ","",""
"7220","27.374414","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=330&y=34&event=mousemove HTTP/1.1 ","",""
"7232","27.393453","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=334&y=37&event=mousemove HTTP/1.1 ","",""
"7244","27.409686","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=335&y=39&event=mousemove HTTP/1.1 ","",""
"7256","27.426364","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=336&y=39&event=mousemove HTTP/1.1 ","",""
"7268","27.442272","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=336&y=40&event=mousemove HTTP/1.1 ","",""
"7280","27.562676","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=336&y=38&event=mousemove HTTP/1.1 ","",""
"7292","27.608000","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=336&y=37&event=mousemove HTTP/1.1 ","",""
"7304","27.638695","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=336&y=36&event=mousemove HTTP/1.1 ","",""
"7316","27.661360","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=336&y=35&event=mousemove HTTP/1.1 ","",""
"7328","27.687406","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=336&y=34&event=mousemove HTTP/1.1 ","",""
"7340","27.715717","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=336&y=33&event=mousemove HTTP/1.1 ","",""
"7352","27.742822","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=336&y=33&event=mousedown HTTP/1.1 ","",""
"7364","27.947993","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=336&y=41&event=mousemove HTTP/1.1 ","",""
"7374","27.965857","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=336&y=42&event=mousemove HTTP/1.1 ","",""
"7386","27.997551","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=336&y=43&event=mousemove HTTP/1.1 ","",""
"7398","28.080493","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=337&y=44&event=mousemove HTTP/1.1 ","",""
"7410","28.089113","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=338&y=45&event=mousemove HTTP/1.1 ","",""
"7415","28.090056","127.0.0.1","127.0.0.1","HTTP","353","GET /anticheat?x=338&y=45&event=mouseup HTTP/1.1 ","",""
"7434","28.114378","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=339&y=46&event=mousemove HTTP/1.1 ","",""
"7446","28.138635","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=342&y=47&event=mousemove HTTP/1.1 ","",""
"7458","28.149382","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=346&y=50&event=mousemove HTTP/1.1 ","",""
"7470","28.165423","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=348&y=52&event=mousemove HTTP/1.1 ","",""
"7482","28.186195","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=349&y=53&event=mousemove HTTP/1.1 ","",""
"7494","28.199610","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=351&y=55&event=mousemove HTTP/1.1 ","",""
"7504","28.223131","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=352&y=56&event=mousemove HTTP/1.1 ","",""
"7516","28.231984","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=353&y=58&event=mousemove HTTP/1.1 ","",""
"7528","28.266457","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=354&y=59&event=mousemove HTTP/1.1 ","",""
"7540","28.291476","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=354&y=60&event=mousemove HTTP/1.1 ","",""
"7552","28.299687","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=355&y=60&event=mousemove HTTP/1.1 ","",""
"7564","28.420488","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=355&y=59&event=mousemove HTTP/1.1 ","",""
"7576","28.447972","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=355&y=58&event=mousemove HTTP/1.1 ","",""
"7588","28.481370","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=355&y=57&event=mousemove HTTP/1.1 ","",""
"7600","28.514909","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=355&y=56&event=mousemove HTTP/1.1 ","",""
"7612","28.580520","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=355&y=55&event=mousemove HTTP/1.1 ","",""
"7624","28.626882","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=355&y=55&event=mousedown HTTP/1.1 ","",""
"7636","28.792428","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=353&y=61&event=mousemove HTTP/1.1 ","",""
"7648","28.809507","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=353&y=62&event=mousemove HTTP/1.1 ","",""
"7660","28.904086","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=353&y=63&event=mousemove HTTP/1.1 ","",""
"7672","29.030171","127.0.0.1","127.0.0.1","HTTP","353","GET /anticheat?x=353&y=63&event=mouseup HTTP/1.1 ","",""
"7684","29.080226","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=353&y=60&event=mousemove HTTP/1.1 ","",""
"7696","29.113926","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=353&y=54&event=mousemove HTTP/1.1 ","",""
"7708","29.130315","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=354&y=51&event=mousemove HTTP/1.1 ","",""
"7720","29.164122","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=355&y=48&event=mousemove HTTP/1.1 ","",""
"7725","29.166636","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=355&y=45&event=mousemove HTTP/1.1 ","",""
"7744","29.191221","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=356&y=42&event=mousemove HTTP/1.1 ","",""
"7756","29.200866","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=357&y=40&event=mousemove HTTP/1.1 ","",""
"7768","29.215945","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=358&y=35&event=mousemove HTTP/1.1 ","",""
"7778","29.230715","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=359&y=33&event=mousemove HTTP/1.1 ","",""
"7790","29.247845","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=359&y=30&event=mousemove HTTP/1.1 ","",""
"7802","29.264838","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=359&y=28&event=mousemove HTTP/1.1 ","",""
"7814","29.291206","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=359&y=26&event=mousemove HTTP/1.1 ","",""
"7826","29.326684","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=360&y=24&event=mousemove HTTP/1.1 ","",""
"7831","29.327406","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=360&y=23&event=mousemove HTTP/1.1 ","",""
"7843","29.331233","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=360&y=22&event=mousemove HTTP/1.1 ","",""
"7862","29.353976","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=360&y=20&event=mousemove HTTP/1.1 ","",""
"7874","29.364086","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=360&y=19&event=mousemove HTTP/1.1 ","",""
"7886","29.381406","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=360&y=17&event=mousemove HTTP/1.1 ","",""
"7898","29.397775","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=360&y=16&event=mousemove HTTP/1.1 ","",""
